% function evaluation | noise-free fitness - Fopt (-5.465000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.663621946e+05 +1.663621946e+05 +1.658156946e+05 +1.658156946e+05 -7.6124e-01 -4.7221e+00 +5.0244e-01 +4.2838e+00 +2.8635e+00 -4.9100e+00 +4.6459e-01 +4.3555e+00 +1.3017e+00 -4.6522e+00 +1.8466e+00 +4.0116e+00 +2.0806e+00 -4.1092e+00 +1.7488e+00 -2.3233e+00 +1.7080e+00 +4.4101e+00 -4.1576e+00 +4.5972e+00
5 +1.582444483e+05 +1.582444483e+05 +1.576979483e+05 +1.576979483e+05 +4.9097e+00 +1.1149e+00 -3.8374e-01 +1.5799e+00 +3.0933e+00 -1.8857e+00 +2.5222e+00 -2.6836e+00 -3.3852e+00 +3.2364e+00 -2.3058e+00 -3.7377e+00 -1.6864e+00 -3.2162e+00 +2.4174e+00 +3.4271e+00 -1.1906e+00 +7.4700e-01 -3.8858e+00 +4.0702e+00
7 +9.913158460e+04 +9.913158460e+04 +9.858508460e+04 +9.858508460e+04 +4.7947e-01 +3.9411e+00 -3.8290e-01 -3.2817e+00 -2.3796e+00 +1.6137e+00 +3.7440e+00 +2.3496e+00 +7.0044e-01 +4.8193e+00 +8.5332e-01 -4.8016e+00 +3.7625e+00 +1.1846e+00 -2.6451e+00 -1.1103e+00 -4.8823e-01 +9.1538e-01 -3.5209e+00 +6.1354e-01
9 +6.294977399e+04 +6.294977399e+04 +6.240327399e+04 +6.240327399e+04 +4.8021e+00 +1.7134e+00 +4.8675e+00 +2.6014e+00 +4.2473e+00 -7.2818e-01 +1.1275e-01 +3.1941e+00 -1.5743e-01 -4.5225e+00 +4.8969e+00 +3.9914e+00 +2.2677e+00 -4.6301e+00 -1.1274e+00 -2.0171e+00 +9.0994e-01 -1.5703e+00 +2.9863e-01 -2.3203e-01
16 +5.949003830e+04 +5.949003830e+04 +5.894353830e+04 +5.894353830e+04 +1.2245e+00 -3.6101e+00 +2.4414e+00 -3.1320e+00 +1.8728e+00 +1.2388e+00 -4.2466e+00 +3.8957e+00 +3.4401e-01 +4.3266e+00 +2.6944e+00 -2.5684e+00 +4.3315e+00 -4.0957e+00 +1.1139e+00 -1.4069e+00 -1.3374e+00 +1.1271e+00 -3.5375e+00 +4.6361e-01
30 +4.767461569e+04 +4.767461569e+04 +4.712811569e+04 +4.712811569e+04 -4.3894e+00 +8.2247e-01 +4.9687e+00 -2.4032e+00 -2.6348e+00 +3.6178e+00 -1.6989e-01 +3.3955e+00 +1.6025e+00 +3.3118e+00 -4.2415e+00 -3.3522e-01 -1.1144e+00 -4.2649e+00 +1.5141e+00 +5.1288e-01 +6.2593e-01 -2.4727e+00 -6.8954e-01 +3.4010e+00
83 +2.045750422e+04 +2.045750422e+04 +1.991100422e+04 +1.991100422e+04 -1.8892e+00 -3.9599e+00 -8.1271e-01 -2.2136e+00 -4.9362e+00 -3.1274e+00 -3.1898e+00 +2.6803e+00 -1.0748e+00 +6.6920e-01 +3.1412e+00 +2.7813e+00 -3.2568e-01 +1.0852e+00 +2.0560e+00 -2.8186e+00 +8.6644e-01 -3.4910e+00 -1.8838e+00 +9.0702e-01
513 +1.295445651e+04 +1.295445651e+04 +1.240795651e+04 +1.240795651e+04 +2.0303e+00 -6.7883e-01 +4.5847e+00 -3.8017e-01 +6.2534e-01 +2.1732e+00 +7.3771e-01 +2.8084e+00 +1.4815e+00 -1.4249e+00 +1.6962e-01 +7.8945e-01 +2.6115e+00 +2.0679e-03 -9.7325e-02 -2.4370e+00 +1.7241e+00 -6.2445e-01 +2.5314e-01 +2.4361e+00
7195 +1.245224013e+04 +1.245224013e+04 +1.190574013e+04 +1.190574013e+04 -2.5470e+00 -6.2057e-01 +1.9472e+00 +3.3907e+00 +3.0440e+00 -3.8528e+00 -2.2741e+00 +9.0328e-01 -1.9086e+00 -9.6559e-01 +2.7823e+00 -2.0407e-01 +1.7685e+00 -3.5705e-01 +6.7696e-01 -6.9678e-01 +4.1911e+00 -1.5663e+00 -6.7610e-02 +1.2707e+00
13496 +7.054641262e+03 +7.054641262e+03 +6.508141262e+03 +6.508141262e+03 -2.3594e+00 -4.0072e+00 -1.0493e+00 +2.1662e+00 -7.1527e-01 -3.9734e+00 -1.8070e+00 +2.2858e+00 +4.9192e-01 -6.7705e-01 -3.3051e-01 +3.6205e+00 +1.7501e+00 -1.2937e+00 +2.8556e+00 -2.0545e+00 +2.3826e+00 -6.9657e-01 -4.3002e-01 +5.7908e-01
17634 +6.342239621e+03 +6.342239621e+03 +5.795739621e+03 +5.795739621e+03 +8.4428e-01 +3.1567e+00 -2.9812e+00 -2.6630e+00 -2.5646e+00 -2.5810e-01 +9.0445e-01 +3.2110e+00 -9.7252e-02 +6.4541e-01 -5.5575e-01 +3.1997e+00 +1.2275e+00 -2.3409e+00 +9.2144e-01 -1.6499e+00 +1.3469e+00 +2.4876e-01 -3.6610e+00 +1.1606e+00
147469 +2.531971922e+03 +2.531971922e+03 +1.985471922e+03 +1.985471922e+03 +3.0280e-01 +2.2999e+00 +2.4162e+00 -2.0473e+00 -2.4301e+00 -2.0877e+00 -1.0482e+00 +1.1572e+00 -5.2530e-01 +1.7669e+00 -6.3357e-01 -2.3830e-01 +2.4897e-01 -1.4700e+00 +2.6870e+00 -2.7365e+00 +1.1861e+00 -1.5543e+00 -1.0240e+00 +1.9957e+00
8221400 +2.329961084e+03 +2.329961084e+03 +1.783461084e+03 +1.783461084e+03 -4.0490e-01 +3.4155e+00 -6.7846e-01 -3.5564e+00 -3.6001e+00 -2.8708e+00 -5.2277e-01 +1.2661e-01 +2.3769e-02 -1.0370e-01 +2.2251e+00 +2.4451e+00 -4.6323e-01 -1.4007e+00 +3.4650e-01 -2.5463e+00 +1.1291e+00 -1.8029e+00 -6.4214e-01 +2.1439e+00
13414806 +1.974292916e+03 +1.974292916e+03 +1.427792916e+03 +1.427792916e+03 +3.2997e+00 -5.5135e-01 +2.0909e+00 +2.3049e+00 +4.4030e+00 -5.0957e-02 -2.1086e+00 +1.9102e+00 -1.5128e+00 +2.3342e+00 +2.5985e+00 +3.0492e-01 +2.2895e+00 -1.0856e+00 +2.7976e+00 +1.3273e-01 +1.3816e+00 -2.1375e-01 -9.4880e-01 +2.2709e+00
22328181 +1.484832130e+03 +1.484832130e+03 +9.383321305e+02 +9.383321305e+02 +1.3082e+00 +3.1096e-01 +3.6251e+00 +7.2140e-01 +3.8224e+00 -2.8621e+00 -6.9278e-01 +2.9820e+00 +2.0032e-01 +4.5551e-01 +6.0419e-01 +1.3409e+00 +2.6982e+00 +3.2383e-01 +1.5564e+00 -1.4466e+00 +6.8848e-01 -2.7782e+00 -3.7524e-01 +1.1568e+00
24838045 +8.130532505e+02 +8.130532505e+02 +2.665532505e+02 +2.665532505e+02 +3.0728e+00 +3.5584e+00 +1.7953e+00 -5.0347e-01 +1.7824e+00 -2.8176e+00 +1.5589e+00 +1.7369e+00 -7.2639e-01 +1.2037e+00 +1.7144e+00 -4.9739e-01 +2.1909e+00 -6.2870e-01 +2.1501e+00 -2.1685e+00 +5.5648e-01 -1.5866e+00 -4.9863e-01 +8.1063e-01
63758824 +4.185806534e+02 +4.185806534e+02 -1.279193466e+02 -1.279193466e+02 +2.7821e+00 +2.3944e+00 +6.8325e-01 -7.1786e-01 +2.8635e+00 -2.4273e+00 -7.7750e-01 +8.5318e-01 +6.1994e-01 +5.3812e-01 +1.6164e+00 +1.0718e+00 +6.2967e-01 -3.0176e+00 +1.2595e+00 -2.5859e+00 +1.4450e+00 -8.8563e-01 -8.5834e-01 +2.5928e+00
