% function evaluation | noise-free fitness - Fopt (1.491500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.391694355e+05 +5.391694355e+05 +5.393185855e+05 +5.393185855e+05 -6.8159e-01 +1.9719e+00 +3.0092e+00 -1.6222e+00 -3.1140e+00 +4.1491e+00 -3.6322e+00 +1.5448e+00 +1.6758e+00 -4.9277e+00 -3.0384e+00 -1.6303e+00 +2.0878e+00 -1.1196e+00 +3.2212e+00 -1.3656e+00 -1.4832e+00 +4.8863e+00 +4.0089e+00 +4.2739e+00
2 +2.199423535e+05 +2.199423535e+05 +2.200915035e+05 +2.200915035e+05 +6.0451e-01 -5.6816e-01 -8.6333e-01 +1.8618e+00 -4.9187e+00 -2.6446e+00 +9.1911e-01 -4.9965e+00 -6.4279e-01 +1.4639e+00 -4.7720e+00 +4.7955e+00 +4.4635e+00 +4.0573e+00 +2.5275e+00 +4.9355e-01 +1.1694e+00 +3.1734e+00 +2.2221e+00 +1.4799e+00
18 +1.869874220e+05 +1.869874220e+05 +1.871365720e+05 +1.871365720e+05 +4.1802e+00 +2.2677e-01 +6.9199e-01 +4.7918e-01 -1.9278e+00 -2.1130e+00 -2.1981e+00 -1.8573e+00 -1.1218e+00 -3.4211e+00 -2.9587e+00 +1.1229e+00 +4.6052e+00 -4.8832e+00 -1.1452e+00 +1.1477e-01 -2.5695e+00 +4.8985e+00 -2.9619e+00 +2.6706e+00
37 +1.575357757e+05 +1.575357757e+05 +1.576849257e+05 +1.576849257e+05 -3.5655e+00 +1.2432e+00 -4.6778e+00 -1.0077e+00 -2.3672e-02 -2.6802e+00 -8.2572e-01 +9.6063e-01 +1.9902e+00 +4.8940e+00 -4.0711e-01 -3.4198e+00 +4.2912e+00 +2.2134e-01 -3.4470e+00 -1.3676e+00 -7.1601e-01 -3.0373e+00 -1.7553e-01 -2.0944e+00
78 +1.492929282e+05 +1.492929282e+05 +1.494420782e+05 +1.494420782e+05 -2.3217e+00 -4.7183e+00 +8.9781e-01 +6.5848e-01 +2.5312e-01 -4.8127e+00 +1.3564e+00 -1.1224e+00 -7.8110e-01 -6.8566e-01 +2.0068e+00 +4.4029e+00 +3.7470e+00 +2.1695e+00 -9.6170e-01 -1.6514e+00 -2.9743e+00 +1.6924e+00 -3.0214e+00 -6.9822e-01
100 +2.844162870e+04 +2.844162870e+04 +2.859077870e+04 +2.859077870e+04 -1.2304e+00 +1.8756e-01 -6.5319e-01 +3.7801e+00 -4.1866e+00 -2.3222e+00 -2.2264e+00 -2.9983e+00 -1.3377e+00 -1.9220e+00 -7.0260e-01 -1.5819e+00 +4.5046e+00 +1.8186e+00 +3.2042e-01 +2.1811e-02 -2.7303e+00 +1.6803e+00 -3.2164e+00 -3.9850e+00
2058 +2.440286854e+04 +2.440286854e+04 +2.455201854e+04 +2.455201854e+04 -2.7217e+00 -4.8314e-01 +1.8456e-02 +2.6467e+00 -2.5898e+00 -8.0385e-02 -2.6562e+00 -3.2287e+00 +6.1009e-01 -2.4741e+00 +4.2412e-01 -1.9803e+00 +2.2364e+00 -1.4900e+00 -3.3938e+00 -1.8804e+00 -2.6921e+00 -2.2068e+00 -7.2415e-01 -7.5266e-01
3527 +2.241615362e+04 +2.241615362e+04 +2.256530362e+04 +2.256530362e+04 -1.0223e+00 -1.4720e+00 +1.9409e+00 +2.3918e+00 -1.6542e+00 -2.1312e+00 -8.8063e-01 -1.7463e-01 -6.7591e-01 -1.6740e+00 -1.5008e+00 +3.1922e+00 +3.1787e+00 -1.8699e+00 -3.5333e+00 -1.9716e-01 +6.5985e-03 +3.5737e-01 -4.5555e+00 -2.9579e+00
9817 +2.150958396e+04 +2.150958396e+04 +2.165873396e+04 +2.165873396e+04 -2.2847e-01 -8.1630e-01 -1.0817e+00 -2.0813e+00 -3.3753e+00 -7.2193e-02 +3.6492e-01 -2.4794e+00 -4.4446e-01 -2.9317e+00 -1.1739e+00 +7.5378e-01 +2.5784e+00 -1.7770e+00 -4.1324e+00 -3.3590e-01 -1.1291e+00 -9.0887e-01 -5.6306e-01 -4.8999e+00
200321 +1.517800519e+04 +1.517800519e+04 +1.532715519e+04 +1.532715519e+04 -1.3662e+00 -1.2255e+00 -4.0608e-01 +1.7082e+00 -2.5131e+00 -2.3519e+00 -3.8682e+00 -3.1825e-01 -1.0138e+00 +2.4778e+00 -5.7219e-01 -1.3301e+00 +4.1625e-01 +2.3834e-01 +4.2634e-01 -9.2385e-01 -1.1609e+00 -1.1879e+00 -1.8298e+00 +1.3966e+00
1243841 +9.597510897e+03 +9.597510897e+03 +9.746660897e+03 +9.746660897e+03 -4.7955e-01 -3.3402e+00 +1.1888e+00 +1.7042e+00 -2.5105e+00 -2.0800e+00 +1.8308e-01 -2.5896e+00 -2.2741e+00 +7.4628e-01 -5.4638e-01 +4.7990e-01 +2.9068e+00 -1.3375e+00 -2.3580e+00 -5.3320e-01 -1.6750e+00 -2.8858e+00 +3.8569e-01 +4.6635e+00
11018295 +5.798735878e+03 +5.798735878e+03 +5.947885878e+03 +5.947885878e+03 -7.4344e-01 +7.2550e-01 +1.2378e-01 +5.0535e-01 -3.8600e+00 -2.5873e+00 -2.0855e+00 -2.3295e+00 -1.3055e-01 -1.7454e+00 -3.1730e+00 -2.1214e+00 +1.5559e+00 -5.1126e-01 -2.4039e+00 -2.0463e+00 -9.1375e-01 +7.2487e-01 -7.8457e-01 +2.4729e+00
72939244 +5.656167531e+03 +5.656167531e+03 +5.805317531e+03 +5.805317531e+03 +2.6796e-01 -2.5629e+00 -2.0005e+00 +1.7820e-02 -4.5483e+00 -1.4344e+00 -9.2984e-02 -2.2386e+00 +8.2097e-01 -1.2772e+00 -3.6315e+00 +7.3027e-01 +1.9450e+00 -1.6600e+00 -1.9995e+00 -9.3473e-01 -1.5792e+00 -4.6178e-01 -1.4934e+00 -1.0177e+00
162138200 +4.969498222e+03 +4.969498222e+03 +5.118648222e+03 +5.118648222e+03 -1.6615e+00 -2.0666e+00 +2.1092e-01 +3.0534e+00 -2.5985e+00 -9.1805e-01 -2.2509e+00 -1.6241e+00 +2.1429e-01 -1.2784e+00 -4.1190e+00 -8.6706e-01 +1.0034e+00 -1.1614e+00 -7.0109e-01 -1.9332e+00 -1.3271e+00 -1.1205e+00 -3.8421e+00 -7.5168e-01
% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.494328774e+06 +1.494328774e+06 +1.493328774e+06 +1.493328774e+06 -4.2407e+00 +8.9024e-01 +2.5256e+00 +1.6599e+00 +4.5852e+00 -2.1704e+00 +1.0698e+00 -1.8657e-01 -3.8518e+00 +2.0058e-01 +3.6702e+00 +2.4871e+00 +2.1042e+00 +2.9133e+00 -8.7621e-01 -4.7802e+00 +4.1549e+00 +4.7094e+00 +4.8876e+00 -7.4190e-01
2 +3.918665062e+05 +3.918665062e+05 +3.908665062e+05 +3.908665062e+05 +1.4849e+00 -2.9071e+00 -3.4009e+00 -4.0897e+00 +5.6591e-01 +3.3933e+00 -1.7005e+00 -4.7894e+00 +4.3360e+00 +1.1155e+00 -4.4287e+00 +2.5742e-01 -3.6873e+00 -2.8515e-01 -1.6190e+00 -1.1949e+00 +3.1922e+00 -4.8615e+00 +3.1664e+00 -3.4889e-01
